Semana;WCAG;e-MAG;Acessibilidade na Web
2019-03-31;28;0;28
2019-04-07;27;0;0
2019-04-14;30;30;30
2019-04-21;28;55;28
2019-04-28;0;0;42
2019-05-05;0;0;0
2019-05-12;27;0;0
2019-05-19;27;0;0
2019-05-26;52;0;0
2019-06-02;26;0;0
2019-06-09;53;0;0
2019-06-16;28;57;28
2019-06-23;54;0;27
2019-06-30;0;27;0
2019-07-07;28;28;0
2019-07-14;28;28;28
2019-07-21;27;0;27
2019-07-28;27;0;0
2019-08-04;0;26;27
2019-08-11;26;0;0
2019-08-18;25;0;25
2019-08-25;51;0;26
2019-09-01;38;25;25
2019-09-08;50;0;25
2019-09-15;38;25;0
2019-09-22;100;0;25
2019-09-29;25;0;0
2019-10-06;49;0;0
2019-10-13;24;25;49
2019-10-20;24;0;0
2019-10-27;24;0;0
2019-11-03;24;0;0
2019-11-10;25;25;0
2019-11-17;24;0;0
2019-11-24;0;0;0
2019-12-01;0;0;0
2019-12-08;0;0;0
2019-12-15;0;0;0
2019-12-22;31;0;0
2019-12-29;29;0;0
2020-01-05;25;0;0
2020-01-12;0;0;0
2020-01-19;36;0;0
2020-01-26;0;0;24
2020-02-02;36;0;0
2020-02-09;23;0;0
2020-02-16;34;0;0
2020-02-23;24;0;24
2020-03-01;22;22;22
2020-03-08;22;22;0
2020-03-15;44;0;22
2020-03-22;0;0;0
