Semana;Acessibilidade;Deficiencia;Responsividade;HTML5;CSS3;JavaScript
31/03/2019;36;74;2;10;1;83
07/04/2019;41;69;2;10;2;86
14/04/2019;31;61;2;11;1;80
21/04/2019;37;70;2;10;2;82
28/04/2019;36;63;1;8;2;75
05/05/2019;40;67;2;9;1;85
12/05/2019;42;72;1;9;1;93
19/05/2019;35;77;1;10;1;92
26/05/2019;40;72;2;10;1;92
02/06/2019;39;77;1;11;2;90
09/06/2019;40;71;1;10;1;90
16/06/2019;35;57;1;9;2;88
23/06/2019;33;65;1;11;2;93
30/06/2019;30;55;1;11;1;95
07/07/2019;28;62;2;9;1;86
14/07/2019;30;46;1;9;2;97
21/07/2019;28;48;1;8;1;92
28/07/2019;29;55;1;10;1;94
04/08/2019;35;65;1;10;1;94
11/08/2019;41;76;2;12;2;97
18/08/2019;44;95;2;10;2;94
25/08/2019;44;93;1;12;2;96
01/09/2019;43;75;1;10;1;98
08/09/2019;44;83;1;12;1;97
15/09/2019;48;100;2;11;1;100
22/09/2019;45;90;1;10;1;100
29/09/2019;43;79;1;11;1;97
06/10/2019;40;68;2;8;2;97
13/10/2019;38;66;1;8;1;94
20/10/2019;46;79;1;8;1;93
27/10/2019;40;74;1;9;1;88
03/11/2019;54;79;2;8;1;85
10/11/2019;44;76;1;7;1;80
17/11/2019;44;81;2;8;1;91
24/11/2019;44;76;2;8;1;89
01/12/2019;42;95;1;7;2;87
08/12/2019;29;61;1;7;2;82
15/12/2019;26;43;1;8;1;75
22/12/2019;23;33;1;7;1;60
29/12/2019;18;33;0;5;0;52
05/01/2020;26;48;1;7;2;78
12/01/2020;26;48;0;8;1;82
19/01/2020;26;51;1;6;1;86
26/01/2020;26;54;1;8;1;85
02/02/2020;28;55;1;9;1;88
09/02/2020;32;62;2;8;1;90
16/02/2020;33;63;1;9;1;87
23/02/2020;26;61;2;9;1;74
01/03/2020;34;75;1;8;1;91
08/03/2020;31;80;1;8;2;90
15/03/2020;24;61;1;9;1;79
22/03/2020;20;64;2;7;1;71
