Estado;População
Rondônia;1805788
Acre;829619
Amazonas;4063614
Roraima;522636
Pará;8366628
Amapá;797722
Tocantins;1550194
Maranhão;7000229
Piauí;3219257
Ceará;9020460
Rio Grande do Norte;3507003
Paraíba;4025558
Pernambuco;9473266
Alagoas;3375823
Sergipe;2288116
Bahia;15344447
Minas Gerais;21119536
Espírito Santo;4016356
Rio de Janeiro;16718956
São Paulo;45094866
Paraná;11320892
Santa Catarina;7001161
Rio Grande do Sul;11322895
Mato Grosso do Sul;2713147
Mato Grosso;3344544
Goiás;6778772
Distrito Federal;3039444
